Selection	View	Channel	Begin Path	File Duration (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
158	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2922.0	2925.0	0	8000.0	zebfin2	Zebra Finch	0.2441
159	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	3093.0	3096.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9980
160	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	3096.0	3099.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9875
161	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	3105.0	3108.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9943
162	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	3201.0	3204.0	0	8000.0	zebfin2	Zebra Finch	0.9862
163	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	3270.0	3273.0	0	8000.0	zebfin2	Zebra Finch	0.2718
164	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	3273.0	3276.0	0	8000.0	zebfin2	Zebra Finch	0.7046
165	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	3294.0	3297.0	0	8000.0	zebfin2	Zebra Finch	0.2545
166	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	3324.0	3327.0	0	8000.0	zebfin2	Zebra Finch	0.4078
167	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	3327.0	3330.0	0	8000.0	zebfin2	Zebra Finch	0.2380
